,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,BRK.A,BRK.A,BRK.A,BRK.A,BRK.A,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,
2020-08-26 00:00:00-04:00,504.7165,507.97,500.33,506.19,37949023,3351.11,3451.7388,3344.5674,3442.06,6420990,319599.9,323939.47,318900.0,322190.0,868,217.88,222.09,217.36,221.15,32650657
2020-08-27 00:00:00-04:00,508.57,509.94,495.33,500.04,36378278,3450.05,3453.0,3378.0,3400.7,3948873,323700.0,327000.0,323700.0,325570.0,1148,222.89,231.15,219.4,226.57,53708988
2020-08-28 00:00:00-04:00,504.05,505.77,498.31,498.83,38207206,3423.0,3433.3699,3386.5,3401.8,2555139,325950.0,328279.2,323570.0,328000.0,584,228.18,230.644,226.58,228.94,22496097
2020-08-31 00:00:00-04:00,127.58,131.0,126.0,128.85,199136542,3408.99,3495.0,3405.0,3441.91,3853016,327500.0,329299.2,326900.0,327280.25,913,227.0,228.7,224.31,225.06,22743408
2020-09-01 00:00:00-04:00,132.76,134.8,130.53,134.2,138233208,3489.58,3513.87,3467.0,3500.47,3176312,325500.0,327560.0,325335.6,327560.0,698,225.51,227.45,224.43,227.32,21619677
2020-09-02 00:00:00-04:00,137.59,137.98,127.0,131.22,184800962,3547.0,3552.25,3486.685,3529.34,3607645,328175.0,333010.0,327507.16,332840.0,908,227.97,232.86,227.35,231.46,29757321
2020-09-03 00:00:00-04:00,126.91,128.84,120.5,120.92,227958928,3485.0,3488.41,3303.0,3369.17,7553385,332850.0,334960.0,325470.6,327900.0,1258,229.27,229.31,214.9602,217.3,49536774
2020-09-04 00:00:00-04:00,120.07,123.7,110.89,120.9,308317528,3318.0,3381.5,3111.13,3294.62,8364379,330000.0,332674.4,323364.0,327585.0,863,215.1,218.3599,205.19,214.14,52517540
2020-09-08 00:00:00-04:00,113.95,118.99,112.68,112.83,207475295,3144.0,3250.845,3130.0,3149.84,5531793,324940.0,328859.4,323430.6,327065.6,769,206.5,210.03,202.2,202.65,45494926
2020-09-09 00:00:00-04:00,117.26,119.14,115.26,117.18,154399690,3202.99,3303.175,3185.0,3268.27,4679433,328500.0,332482.0,328175.0,329760.0,790,207.6,214.8399,206.7,211.18,38564566
